@relation _home_sebastiao_sebastiao_red_exemplo2

@attribute text string
@attribute @@class@@ {semRacismoN2,racismoN2}

@data
'ai p i pa i pa  par par para para ara ara  ra b ra b a br a br  bri bri brin brin rinc rinc inca inca ncad ncad cade cade adei adei deir deir eira eira ira\" ira\" ra\" ra\"  a\" – a\" – \" – \" –   – d – d – di – di  diz diz diz diz  iz e iz e z el z el  ele ele ele ele  le – le – e –, e –,  –, –,  –, o –, o , o , o   o q o q o qu o qu  que que que que  ue r ue r e re e re  rea rea real real ealm ealm alme alme lmen lmen ment ment ente ente nte nte  te e te e e é e é  é é  é v é v ́ ve ́ ve  ver ver verd verd erda erda rdad rdad dade dade ade: ade: de: de:  e: \" e: \" : \"n : \"n  \"na \"na \"nã \"nã não não ão ão  ̃o s ̃o s o se ',semRacismoN2
'isra srae srae rael rael ael ael  el l el l l la l la  lan lan lanc lanc anç anç nça nça ça ça  ̧a m ̧a m a me a me  mé mé mét mét éto éto ́tod ́tod todo todo odo odo  do r do r o re o re  rev rev revo revo evol evol volu volu oluc oluc luci luci ucio ucio cion cion iona iona oná oná nár nár ári ári ́rio ́rio rio rio  io d io d o de o de  de de  de m de m e mo e mo  mon mon moni moni onit onit nito nito itor itor tora tora oram oram rame rame amen amen ment ment ento ento nto nto  to d to d o do o do  do do  do # do # o #r o #r  #ra #ra #rac #rac raci raci acis acis cism cism ismo ismo smo smo  mo n mo n o na o na  na na  na i na i a in a in  int int inte inte nter nter tern tern erne erne rnet rnet net ',semRacismoN2
'o wh  wha wha what what hats hats atsa atsa tsap tsap sapp sapp app app  pp n pp n p na p na  nã nã não não ão ão  ̃o d ̃o d o de o de  dei dei deix deix eixa eixa ixa ixa  xa n xa n a ne a ne  neg neg negr negr egro egro gros gros ros ros  os ( os ( s (a s (a  (af (af (afr (afr afro afro frod frod rode rode odes odes desc desc esce esce scen scen cend cend ende ende nden nden dent dent ente ente ntes ntes tes, tes, es, es,  s, p s, p , pr , pr  pra pra pra pra  ra q ra q a qu a qu  que que quem quem uem uem  em n em n m na m na  nã nã não não ão ão  ̃o s ̃o s o sa o sa  sab sab sabe sabe abe) abe) be) be)  e) f e) f ) fe ) fe  fec fec fech fech echa echa char char har har  ar u ar u r um r um  um um  um a um a m ac m ac  aco aco acor acor cord cord ordo ordo rdo. rdo. do. do.  o. s o. s . so . so  só só só só  ó e ó e ́ ex ́ ex  exi exi exis exis xist xist iste iste ste ste  te a te a e a e a   a m a m a ma a ma  mã mã mão mão ão ão  ̃o a ̃o a o am o am  ama ama amar amar mare mare arel arel rela rela ela ela  la p la p a pr a pr  pra pra pra pra  ra f ra f a fe a fe  fec fec fech fech echa echa char char har har  ar a ar a r ac r ac  aco aco acor acor cord cord ordo ordo rdo rdo  do # do # o #p o #p  #pr #pr #pre #pre prec prec reco reco econ econ conc conc once once ncei ncei ceit ceit eito ',semRacismoN2
'boic oico oico icot icot cote cote ote ote  te a te a e à e à  à à  à c à c ̀ ca ̀ ca  cas cas casa casa asa asa  sa d sa d a do a do  dos dos dos dos  os f os f s fr s fr  fri fri frio frio rios rios ios ios  os p os p s po s po  por por por por  or # or # r #r r #r  #ra #ra #rac #rac raci raci acis acis cism cism ismo ismo smo smo  mo c mo c o cl o cl  cli cli clie clie lien lien ient ient ente ente nte nte  te e te e e é e é  é é  é c é c ́ co ́ co  con con conf conf onfu onfu nfun nfun fund fund undi undi ndid ndid dido dido ido ido  do c do c o co o co  com com com com  om a om a m as m as  ass ass assa assa ssal ssal salt salt alta alta ltan ltan tant tant ante ante nte nte  te e te e e em e em  em em  em l em l m lo m lo  loj loj loja loja oja oja  ja n ja n a no a no  no no  no r no r o re o re  rec rec reci reci ecif ecif cife cife ife ife  fe e fe e e e e e   e r e r e re e re  rel rel rela rela elat elat lata lata ata ata  ta c ta c a co a co  con con cons cons onst onst nstr nstr stra stra tran tran rang rang angi angi ngim ngim gime gime imen imen ment ment ento ento nto ',semRacismoN2
'marg arga arga rgar rgar gare gare aret aret ret ret  et s et s t sa t sa  san san sang sang ange ange nger nger ger, ger, er, er,  r, f r, f , fo , fo  foi foi foi foi  oi s oi s i se i se  sex sex sexo sexo exó exó xól xól ólo ólo ́log ́log loga loga oga oga  ga e ga e a e a e   e d e d e de e de  def def defe defe efen efen fens fens enso enso nsor nsor sora sora ora ora  ra d ra d a do a do  do do  do a do a o ab o ab  abo abo abor abor bort bort orto orto rto rto  to e to e o e o e   e e e e e es e es  est est este este ster ster teri teri eril eril rili rili iliz iliz liza liza izac izac zaç zaç aça aça çã çã ̧ão ̧ão ão ão  ̃o c ̃o c o co o co  com com como como omo omo  mo m mo m o me o me  mé mé mét mét éto éto ́tod ́tod todo todo odo odo  do d do d o de o de  de de  de e de e e ex e ex  ext ext exte exte xter xter term term ermi ermi rmí rmí mín mín íni íni ́nio ́nio nio nio  io d io d o da o da  da da  da p da p a po a po  pop pop popu popu opul opul pula pula ulac ulac laç laç aça aça çã çã ̧ão ̧ão ão ão  ̃o n ̃o n o ne o ne  neg neg negr negr egra egra gra. gra. ra. ra.  a. # a. # . #r . #r  #ra #ra #rac #rac raci raci acis acis cist cist ista ista sta sta  ta # ta # a #d a #d  #di #di #dis #dis disc disc iscr iscr scri scri crim crim rimi rimi imin imin mina mina inat inat nati nati atio atio tion ',semRacismoN2
'#rac raci raci acis acis cism cism ismo ismo smo- smo- mo- mo-  o- e o- e - é - é  é- é- é- é-  ́- c ́- c - cr - cr  cri cri crim crim rime rime ime- ime- me-m me-m e-ma e-ma -mac -mac mach mach achi achi chis chis hism hism ismo ismo smo- smo- mo-t mo-t o-ta o-ta -tam -tam tamb tamb ambe ambe mbé mbé bém bém ém. ',semRacismoN2
'quem uem uem  em f em f m fo m fo  for for for for  or o or o r ob r ob  obs obs obse obse bser bser serv serv erva erva rvad rvad vado vado ador ador dor, dor, or, or,  r, p r, p , pe , pe  per per perc perc erce erce rceb rceb cebe cebe eber eber bera bera erá erá rá rá  á l á l ́ lo ́ lo  log log logo logo ogo ogo  go a go a o a o a   a d a d a de a de  dem dem dema dema emag emag mago mago agog agog gogi gogi ogia ogia gia gia  ia e ia e a e a e   e o e o e o e o   o p o p o po o po  pop pop popu popu opul opul puli puli ulis ulis lism lism ismo ismo smo smo  mo e mo e o em o em  em em  em c em c m ca m ca  cad cad cada cada ada ada  da f da f a fr a fr  fra fra fras fras rase rase ase ase  se d se d e da e da  da da  da e da e a es a es  esc esc esca esca scan scan cand cand anda anda ndal ndal dalo dalo alos alos losa losa osa osa  sa m sa m a ma a ma  mar mar mari mari aria aria ria ria  ia b ia b a be a be  bel bel belt belt eltr eltr ltra ltra trã trã rão rão ão ão  ̃o # ̃o # o #e o #e  #es #es #est #est estu estu stud stud tudi tudi udio udio dioi dioi ioi ioi  oi # oi # i #o i #o  #ob #ob #oba #oba obam obam bama bama ama ama  ma # ma # a #m a #m  #mi #mi #mic #mic mich mich iche iche chel chel hele hele ele ele  le # le # e #r e #r  #ra #ra #rac #rac raci raci acis acis cism cism ismo ',semRacismoN2
'não ão, ão, ̃o, ̃o,  o, v o, v , vo , vo  voc voc voce voce ocê ocê cê cê  ê n ê n ̂ na ̂ na  nã nã não não ão ão  ̃o p ̃o p o po o po  pod pod pode pode ode ode  de t de t e to e to  toc toc toca toca ocar ocar car car  ar n ar n r no r no  no no  no m no m o me o me  meu meu meu meu  eu c eu c u ca u ca  cab cab cabe cabe abel abel belo ',semRacismoN2
'paz  az # az # z #p z #p  #pr #pr #pre #pre prec prec reco reco econ econ conc conc once once ncei ncei ceit ceit eito eito ito ito  to e to e o é o é  é é  é p é p ́ po ́ po  pod pod podr podr odre ',semRacismoN2
'ning ingu ingu ngue ngue gué gué uém uém ém ém  ́m e ́m e m é m é  é é  é o é o ́ ob ́ ob  obr obr obri obri brig brig riga riga igad igad gado gado ado ado  do a do a o a o a   a s a s a se a se  seg seg segu segu egui egui guir guir uir uir  ir e ir e r es r es  ess ess essa essa ssa ssa  sa m sa m a me a me  mes mes mesm mesm esma esma sma sma  ma t ma t a te a te  ten ten tend tend ende ende ndê ndê dên dên ênc ênc ̂nci ̂nci ncia ncia cia, cia, ia, ia,  a, s a, s , se , se  se se  se n se n e na e na  nã nã não não ão ão  ̃o a ̃o a o a o a   a t a t a te a te  tem tem tem, tem, em, em,  m, m m, m , ma , ma  mas mas mas mas  as i as i s is s is  iss iss isso isso sso sso  so n so n o na o na  nã nã não não ão ão  ̃o l ̃o l o lh o lh  lhe lhe lhe lhe  he d he d e da e da  dá dá dá dá  á o á o ́ o ́ o   o d o d o di o di  dir dir dire dire irei irei reit reit eito eito ito ito  to d to d o de o de  de de  de j de j e ju e ju  jul jul julg julg ulga ulga lgar lgar gar, gar, ar, ar,  r, c r, c , co , co  con con cond cond onde onde nden nden dena dena enar enar nar nar  ar e ar e r e r e   e u e u e us e us  usa usa usar usar sar sar  ar d ar d r de r de  de de  de v de v e vi e vi  vio vio viol viol iole iole olê olê lên lên ênc ênc ̂nci ̂nci ncia ncia cia, cia, ia, ia,  a, v a, v , ve , ve  ver ver verb verb erba erba rbal rbal bal bal  al o al o l ou l ou  ou ou  ou f ou f u fi u fi  fí fí fís fís ísi ísi ́sic ́sic sica sica ica, ica, ca, ca,  a, c a, c , co , co  con con cont cont ontr ontr ntra ntra tra tra  ra q ra q a qu a qu  que que quem quem uem uem  em a em a m a m a   a s a s a se a se  seg seg segu segu egue egue gue. ',semRacismoN2
'(eu  eu g eu g u go u go  gos gos gost gost osto osto sto sto  to d to d o de o de  de de  de n de n e ne e ne  neg neg negr negr egro egro gros gros ros ros  os p os p s pe s pe  pen pen pena pena ena ena  na q na q a qu a qu  que que que que  ue n ue n e na e na  nã nã não não ão ão  ̃o s ̃o s o sa o sa  sã sã são são ão ão  ̃o m ̃o m o ma o ma  mai mai mais mais ais ais  is e is e s es s es  esc esc escr escr scra scra crav crav ravo ravo avos avos vos) vos) os). os). s). ',semRacismoN2
'o so  sos sos sos sos  os r os r s ra s ra  rac rac raci raci acis acis cism cism ismo ismo smo smo  mo e mo e o es o es  est est esta esta stá stá tá tá  á a á a ́ a ́ a   a d a d a de a de  des des dese dese esen esen senv senv envo envo nvol nvol volv volv olve olve lver lver ver ver  er u er u r um r um  um um  um p um p m pr m pr  pro pro proj proj roje roje ojet ojet jeto jeto eto eto  to n to n o no o no  no no  no a no a o â o â  âm âm âmb âmb ̂mbi ̂mbi mbit mbit bito bito ito ito  to d to d o do o do  do do  do c do c o co o co  con con conc conc oncu oncu ncur ncur curs curs urso urso rso rso  so i so i o in o in  int int inte inte nteg nteg tegr tegr egra egra gra gra  ra p ra p a pr a pr  pro pro prom prom romo romo omov omov movi movi ovid ovid vido vido ido ido  do p do p o pe o pe  pel pel pela pela ela ela  la a la a a ag a ag  age age agê agê gên gên ênc ênc ̂nci ̂nci ncia ncia cia cia  ia c ia c a ci a ci  cie cie ciê ciê iên iên ênc ênc ̂nci ̂nci ncia ncia cia cia  ia v ia v a vi a vi  viv viv viva viva iva ',semRacismoN2
'@zer zere zere erei erei reiz reiz eiza eiza izao izao zao zao  ao @ ao @ o @j o @j  @jx @jx @jxn @jxn jxnn jxnn xnni xnni nnie nnie nie_ nie_ ie_d ie_d e_dv e_dv _dvr _dvr dvrk dvrk vrko vrko rko rko  ko t ko t o tu o tu  tup tup tupa tupa upac upac pac pac  ac e ac e c é c é  é é  é m é m ́ ma ́ ma  mai mai mais mais ais ais  is p is p s pr s pr  pre pre pret pret reto reto eto, eto, to, to,  o, o o, o , o , o   o q o q o qu o qu  que que que que  ue f ue f e fa e fa  faz faz faz faz  az d az d z de z de  del del dele dele ele ele  le p le p e pi e pi  pio pio pior pior ior. ior. or. or.  r. # r. # . #r . #r  #ra #ra #rac #rac raci raci acis acis cism cism ismo ismo smo smo  mo # mo # o #d o #d  #do #do #don #don dona dona onal onal nald nald aldt aldt ldtr ldtr dtru dtru trum trum rump ',semRacismoN2
'#rac raci raci acis acis cism cism ismo ismo smo smo  mo e mo e o é o é  é é  é t é t ́ te ́ te  ten ten tend tend ende ende ndê ndê dên dên ênc ênc ̂nci ̂nci ncia ncia cia cia  ia e ia e a em a em  em em  em # em # m #r m #r  #ri #ri #rio ',semRacismoN2
'(tod todo todo odo odo  do b do b o ba o ba  ban ban band band andi andi ndid ndid dido dido ido ido  do e do e o é o é  é é  é n é n ́ ne ́ ne  neg neg negr negr egro egro gro gro  ro o ro o o ou o ou  ou ou  ou t ou t u te u te  tem tem tem tem  em a em a m a m a   a a a a a al a al  alm alm alma alma lma lma  ma n ma n a ne a ne  neg neg negr negr egra egra gra) ',semRacismoN2
'#fam famo famo amos amos moso moso osos osos sos sos  os # os # s #c s #c  #cr #cr #cri #cri crim crim rime rime ime ime  me # me # e #r e #r  #ra #ra #rac #rac raci raci acis acis cism cism ismo ismo smo smo  mo r mo r o re o re  rec rec reco reco ecor ecor cord cord ord ord  rd t rd t d to d to  tom tom tomo tomo omou omou mou mou  ou a ou a u at u at  ati ati atit atit titu titu itud itud tude tude ude ude  de c de c e ce e ce  cer cer cert cert erta erta rta? rta? ta? ta?  a? o a? o ? o ? o   o q o q o qu o qu  que que que que  ue v ue v e vo e vo  voc voc voce voce ocê ocê cê cê  ê a ê a ̂ ac ̂ ac  ach ach acha acha cha cha  ha s ha s a so a so  sob sob sobr sobr obre obre bre bre  re r re r e ra e ra  rac rac raci raci acis acis cism cism ismo ismo smo? smo? mo? ',semRacismoN2
'nós ós ós  ́s p ́s p s po s po  pod pod pode pode odem odem demo demo emos emos mos mos  os ! os ! s ! s !   ! n ! n ! no ! no  nó nó nós nós ós ós  ́s d ́s d s de s de  dev dev deve deve evem evem vemo vemo emos emos mos mos  os ! os ! s ! s !   ! # ! # ! #h ! #h  #hu #hu #hum #hum huma huma uman uman manr manr anri anri nrig nrig righ righ ight ight ghts ghts hts hts  ts # ts # s #r s #r  #ra #ra #rac #rac raci raci acis acis cism cism ismo ismo smo smo  mo # mo # o #a o #a  #á #á #áf #áf áfr áfr ́fri ́fri fric fric rica rica ica ica  ca # ca # a #m a #m  #ma #ma #mac #mac mach mach achi achi chis chis hism hism ismo ismo smo smo  mo # mo # o #h o #h  #ho #ho #hom #hom homo homo omof omof mofo mofo ofob ofob fobi fobi obia obia bia bia  ia # ia # a #b a #b  #br #br #bra #bra bras bras rasi rasi asil asil sil sil  il # il # l #d l #d  #de #de #dem #dem demo demo emoc emoc mocr mocr ocra ocra crac crac raci raci acia acia cia cia  ia # ia # a #f a #f  #fe #fe #fem #fem femi femi emin emin mini mini inis inis nism nism ismo ',semRacismoN2
'todo odo odo  do # do # o #p o #p  #pr #pr #pre #pre prec prec reco reco econ econ conc conc once once ncei ncei ceit ceit eito eito ito ito  to t to t o te o te  tem tem tem tem  em q em q m qu m qu  que que que que  ue s ue s e se e se  ser ser ser ser  er c er c r co r co  com com comb comb omba omba mbat mbat bati bati atid atid tido tido ido. ido. do. do.  o. s o. s . se . se  ser ser ser ser  er e er e r es r es  esp esp espe espe spec spec peci peci ecia ecia cial cial ial ial  al e al e l é l é  é é  é e é e ́ es ́ es  est est esta esta star star tar tar  ar l ar l r li r li  liv liv livr livr ivre ivre vre vre  re d re d e de e de  del del dele dele ele. ele. le. le.  e. # e. # . #d . #d  #di #di #dia #dia diai diai iain iain aint aint inte inte nter nter tern tern erna erna rnac rnac naci naci acio acio cion cion iona iona onal onal nald nald alda alda ldas ldas dasi dasi asin asin sind sind indr indr ndro ndro drom drom rome rome omed omed mede mede eded eded dedo dedo edow edow down down own own  wn # wn # n #p n #p  #pr #pr #pre #pre prec prec reco reco econ econ conc conc once once ncei ncei ceit ceit eito ',semRacismoN2
