@relation _home_sebastiao_sebastiao_red_exemplo1

@attribute text string
@attribute @@class@@ {semRacismoN1,racismoN1}

@data
'ai p i pa par para ara ra b a br bri brin rinc inca ncad cade adei deir eira ira\" ra\" a\" – \" – – d – di diz diz iz e z el ele ele le – e –, –, –, o , o o q o qu que que ue r e re rea real ealm alme lmen ment ente nte te e e é é é v ́ ve ver verd erda rdad dade ade: de: e: \" : \"n \"na \"nã não ão ̃o s o se ',semRacismoN1
'isra srae rael ael el l l la lan lanc anç nça ça ̧a m a me mé mét éto ́tod todo odo do r o re rev revo evol volu oluc luci ucio cion iona oná nár ári ́rio rio io d o de de de m e mo mon moni onit nito itor tora oram rame amen ment ento nto to d o do do do # o #r #ra #rac raci acis cism ismo smo mo n o na na na i a in int inte nter tern erne rnet net ',semRacismoN1
'o wh wha what hats atsa tsap sapp app pp n p na nã não ão ̃o d o de dei deix eixa ixa xa n a ne neg negr egro gros ros os ( s (a (af (afr afro frod rode odes desc esce scen cend ende nden dent ente ntes tes, es, s, p , pr pra pra ra q a qu que quem uem em n m na nã não ão ̃o s o sa sab sabe abe) be) e) f ) fe fec fech echa char har ar u r um um um a m ac aco acor cord ordo rdo. do. o. s . so só só ó e ́ ex exi exis xist iste ste te a e a a m a ma mã mão ão ̃o a o am ama amar mare arel rela ela la p a pr pra pra ra f a fe fec fech echa char har ar a r ac aco acor cord ordo rdo do # o #p #pr #pre prec reco econ conc once ncei ceit eito ',semRacismoN1
'boic oico icot cote ote te a e à à à c ̀ ca cas casa asa sa d a do dos dos os f s fr fri frio rios ios os p s po por por or # r #r #ra #rac raci acis cism ismo smo mo c o cl cli clie lien ient ente nte te e e é é é c ́ co con conf onfu nfun fund undi ndid dido ido do c o co com com om a m as ass assa ssal salt alta ltan tant ante nte te e e em em em l m lo loj loja oja ja n a no no no r o re rec reci ecif cife ife fe e e e e r e re rel rela elat lata ata ta c a co con cons onst nstr stra tran rang angi ngim gime imen ment ento nto ',semRacismoN1
'marg arga rgar gare aret ret et s t sa san sang ange nger ger, er, r, f , fo foi foi oi s i se sex sexo exó xól ólo ́log loga oga ga e a e e d e de def defe efen fens enso nsor sora ora ra d a do do do a o ab abo abor bort orto rto to e o e e e e es est este ster teri eril rili iliz liza izac zaç aça çã ̧ão ão ̃o c o co com como omo mo m o me mé mét éto ́tod todo odo do d o de de de e e ex ext exte xter term ermi rmí mín íni ́nio nio io d o da da da p a po pop popu opul pula ulac laç aça çã ̧ão ão ̃o n o ne neg negr egra gra. ra. a. # . #r #ra #rac raci acis cist ista sta ta # a #d #di #dis disc iscr scri crim rimi imin mina inat nati atio tion ',semRacismoN1
'#rac raci acis cism ismo smo- mo- o- e - é é- é- ́- c - cr cri crim rime ime- me-m e-ma -mac mach achi chis hism ismo smo- mo-t o-ta -tam tamb ambe mbé bém ém. ',semRacismoN1
'quem uem em f m fo for for or o r ob obs obse bser serv erva rvad vado ador dor, or, r, p , pe per perc erce rceb cebe eber bera erá rá á l ́ lo log logo ogo go a o a a d a de dem dema emag mago agog gogi ogia gia ia e a e e o e o o p o po pop popu opul puli ulis lism ismo smo mo e o em em em c m ca cad cada ada da f a fr fra fras rase ase se d e da da da e a es esc esca scan cand anda ndal dalo alos losa osa sa m a ma mar mari aria ria ia b a be bel belt eltr ltra trã rão ão ̃o # o #e #es #est estu stud tudi udio dioi ioi oi # i #o #ob #oba obam bama ama ma # a #m #mi #mic mich iche chel hele ele le # e #r #ra #rac raci acis cism ismo ',semRacismoN1
'não ão, ̃o, o, v , vo voc voce ocê cê ê n ̂ na nã não ão ̃o p o po pod pode ode de t e to toc toca ocar car ar n r no no no m o me meu meu eu c u ca cab cabe abel belo ',semRacismoN1
'paz az # z #p #pr #pre prec reco econ conc once ncei ceit eito ito to e o é é é p ́ po pod podr odre ',semRacismoN1
'ning ingu ngue gué uém ém ́m e m é é é o ́ ob obr obri brig riga igad gado ado do a o a a s a se seg segu egui guir uir ir e r es ess essa ssa sa m a me mes mesm esma sma ma t a te ten tend ende ndê dên ênc ̂nci ncia cia, ia, a, s , se se se n e na nã não ão ̃o a o a a t a te tem tem, em, m, m , ma mas mas as i s is iss isso sso so n o na nã não ão ̃o l o lh lhe lhe he d e da dá dá á o ́ o o d o di dir dire irei reit eito ito to d o de de de j e ju jul julg ulga lgar gar, ar, r, c , co con cond onde nden dena enar nar ar e r e e u e us usa usar sar ar d r de de de v e vi vio viol iole olê lên ênc ̂nci ncia cia, ia, a, v , ve ver verb erba rbal bal al o l ou ou ou f u fi fí fís ísi ́sic sica ica, ca, a, c , co con cont ontr ntra tra ra q a qu que quem uem em a m a a s a se seg segu egue gue. ',semRacismoN1
'(eu eu g u go gos gost osto sto to d o de de de n e ne neg negr egro gros ros os p s pe pen pena ena na q a qu que que ue n e na nã não ão ̃o s o sa sã são ão ̃o m o ma mai mais ais is e s es esc escr scra crav ravo avos vos) os). s). ',semRacismoN1
'o so sos sos os r s ra rac raci acis cism ismo smo mo e o es est esta stá tá á a ́ a a d a de des dese esen senv envo nvol volv olve lver ver er u r um um um p m pr pro proj roje ojet jeto eto to n o no no no a o â âm âmb ̂mbi mbit bito ito to d o do do do c o co con conc oncu ncur curs urso rso so i o in int inte nteg tegr egra gra ra p a pr pro prom romo omov movi ovid vido ido do p o pe pel pela ela la a a ag age agê gên ênc ̂nci ncia cia ia c a ci cie ciê iên ênc ̂nci ncia cia ia v a vi viv viva iva ',semRacismoN1
'@zer zere erei reiz eiza izao zao ao @ o @j @jx @jxn jxnn xnni nnie nie_ ie_d e_dv _dvr dvrk vrko rko ko t o tu tup tupa upac pac ac e c é é é m ́ ma mai mais ais is p s pr pre pret reto eto, to, o, o , o o q o qu que que ue f e fa faz faz az d z de del dele ele le p e pi pio pior ior. or. r. # . #r #ra #rac raci acis cism ismo smo mo # o #d #do #don dona onal nald aldt ldtr dtru trum rump ',semRacismoN1
'#rac raci acis cism ismo smo mo e o é é é t ́ te ten tend ende ndê dên ênc ̂nci ncia cia ia e a em em em # m #r #ri #rio ',semRacismoN1
'(tod todo odo do b o ba ban band andi ndid dido ido do e o é é é n ́ ne neg negr egro gro ro o o ou ou ou t u te tem tem em a m a a a a al alm alma lma ma n a ne neg negr egra gra) ',semRacismoN1
'#fam famo amos moso osos sos os # s #c #cr #cri crim rime ime me # e #r #ra #rac raci acis cism ismo smo mo r o re rec reco ecor cord ord rd t d to tom tomo omou mou ou a u at ati atit titu itud tude ude de c e ce cer cert erta rta? ta? a? o ? o o q o qu que que ue v e vo voc voce ocê cê ê a ̂ ac ach acha cha ha s a so sob sobr obre bre re r e ra rac raci acis cism ismo smo? mo? ',semRacismoN1
'nós ós ́s p s po pod pode odem demo emos mos os ! s ! ! n ! no nó nós ós ́s d s de dev deve evem vemo emos mos os ! s ! ! # ! #h #hu #hum huma uman manr anri nrig righ ight ghts hts ts # s #r #ra #rac raci acis cism ismo smo mo # o #a #á #áf áfr ́fri fric rica ica ca # a #m #ma #mac mach achi chis hism ismo smo mo # o #h #ho #hom homo omof mofo ofob fobi obia bia ia # a #b #br #bra bras rasi asil sil il # l #d #de #dem demo emoc mocr ocra crac raci acia cia ia # a #f #fe #fem femi emin mini inis nism ismo ',semRacismoN1
'todo odo do # o #p #pr #pre prec reco econ conc once ncei ceit eito ito to t o te tem tem em q m qu que que ue s e se ser ser er c r co com comb omba mbat bati atid tido ido. do. o. s . se ser ser er e r es esp espe spec peci ecia cial ial al e l é é é e ́ es est esta star tar ar l r li liv livr ivre vre re d e de del dele ele. le. e. # . #d #di #dia diai iain aint inte nter tern erna rnac naci acio cion iona onal nald alda ldas dasi asin sind indr ndro drom rome omed mede eded dedo edow down own wn # n #p #pr #pre prec reco econ conc once ncei ceit eito ',semRacismoN1
'vint inte nte te e e e e d e du dua duas uas as a s as ass asso ssoc soci ocia ciac iaç aço çõ ̧õe ões ̃es es d s de de de a e af afr afro fro- ro-d o-de -des desc esce scen cend ende nden dent ente ntes tes es q s qu que quei ueix eixa ixam xam- am-s m-se -se se d e de de de p e po por port ortu rtug tuga ugal gal al a l à à à o ̀ on onu ',semRacismoN1
'@vas vasc asco scod coda odag daga agam gama ama ma # a #v #va #vas vasc asco scod coda odag daga agam gama ama ma e a en ent ente nten tend endo ndo do q o qu que que ue o e o o # o #r #ra #rac raci acis cism ismo smo mo e o é é é u ́ um uma uma ma a a at ati atit titu itud tude ude de m e me med medi edí dío íoc ́ocr ocre cre, re, e, m , ma mas mas as t s to tod todo odo do t o ti tip tipo ipo po d o de de de p e pr pre prec reco econ conc once ncei ceit eito ito to v o ve vem vem em d m de de de b e be ber berc erç rço ço ̧o d o de de de c e ca cad cada ada da s a se ser ser er h r hu hum huma uman mano ',semRacismoN1
