@relation _Users_rafaelfmello_Downloads_Sebastiao_TP

@attribute text string
@attribute @@class@@ {racismo,semRacismo}

@data

'disseram q amanha no fantástico vai passar a mulher ex-negra q passa um produto pra ficar branca, amanhã descobrimos o segredo da beyonce',racismo
'Atos racistas e atitudes preconceituosas representam sério retrocesso a democratização do esporte.',semRacismo
'Racismo é algo lamentável em todas as instâncias.Me perdi em um bairro negro em Miami e quase fui linchado por ser branco.',racismo
'\"Porque juntos somos mais. NÃO RACISMO!\"',semRacismo
'ser negra(o) e sofrer com a estigmatização da nossa cultura e aparência, tendo q construir todos os dias nossa autoestima?',racismo
'\"Eu sou um muçulmano, por favor, não me odeie.\"',semRacismo
'você é uma negra bonita, porque tem o nariz fino!',racismo
'O primeiro negro a presidir um clube de São Paulo quer devolver a Lusa às glórias. https://goo.gl/MITNVC ',semRacismo
'Falei morena porque se falasse negra você ficaria constrangida',racismo
'Pela 1ª vez, trote da Poli-USP conta com comissão contra machismo, racismo e homofobia',semRacismo
'de onde vem esses olhos?',racismo
'Os brancos podem ficar do nosso lado nas questões pequenas, mas jamais nas fundamentais. Malcolm',semRacismo
'eu não sabia que gente como você tinha sensibilidade pra arquitetura',racismo
'Diante do machismo de Putin, Alexandra Kollontai não silenciaria http://ow.ly/Yn0P308Zpv6  #geledes #machismo',semRacismo
'como você faz para lavar esse cabelo?',racismo
'O SBT escolhe \"a dedo\" seus profissionais, não surpreende. Nojo ! Nojo ! #Racismo&Golpismo é a cara do Baú !',semRacismo
'racismo não existe, tira essa para da cabeça!!',racismo
'#cidadania #racismo A diferença que a cor faz na infância',semRacismo
'você nem parece negro',racismo
'Organizações fazem ato de repúdio a racismo denunciado contra a Casa dos Frios http://ow.ly/wvOH308imyL  #geledes #racismo ',semRacismo
'Eles nem estudam, como querem cotas?',racismo
'@johnlegend responde a comentário racista. http://goo.gl/LH2ypL  #radiocomercial #noticias #news #racismo',semRacismo
'moreno-claro não é estágio evolutivo',racismo
'#MinasGerais: grupo #protesta contra #racismo em peça teatral. ',semRacismo
'não concordo com as cotas, na real são elas que separam',racismo
'#racismo- é- crime-machismo-também.',semRacismo
'Quando você senta do lado de uma pessoa no ônibus e ela guarda o celular e o fone de ouvido',racismo
'\"Somos todos iguais.\" Infelizmente para alguns só na teoria,vamos por em prática. ',semRacismo
'você não é negro',racismo
'esta, clara negação da existencia do resto do mundo. #discriminação. #racismo ',semRacismo
'você tem sorte de ser negra, nem precisa estudar pra passar no vestibular!!!',racismo
'A Intolerância política é a macula da nossa sociedade e traz consigo inúmeros preconceitos #DireitosHumanos #Ódio #Racismo #Homofobia',semRacismo
'você é um negro de alma branca',racismo
'#Racismo é burrice ',semRacismo
'porque você não penteia esse cabelo',racismo
'Lutar contra o #racismo sempre! ',semRacismo
'e ai brother tem seda?',racismo
'Comentador da ESPN que comparou Venus Williams a um gorila foi despedido http://ow.ly/rBz4308eoYa  #geledes #racismo',semRacismo
'você usa pó compacto (maquiagem) ou CARVÃO?',racismo
'@vascodagama, nós também repudiamos todo e qualquer tipo de racismo! Estamos juntos contra o #racismo! #DigaNãoAoRacismo #SayNoToRacismo',semRacismo
'negro e favela não são sinônimos',racismo
